,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/organcho/bsgjg_f.mid,0.147,0.001,0.169,0.118,0.013,0.077,0.032,0.177,0.011,0.095,0.129,0.031
assignment3/data/midi/bach/organcho/bsgjg_g.mid,0.141,0.0,0.148,0.085,0.016,0.093,0.022,0.217,0.02,0.088,0.144,0.028
assignment3/data/midi/bach/organcho/bsgjg_h.mid,0.189,0.0,0.177,0.088,0.007,0.034,0.036,0.205,0.011,0.101,0.112,0.041
assignment3/data/midi/bach/organcho/bsgjg_i.mid,0.181,0.002,0.162,0.1,0.01,0.06,0.02,0.214,0.012,0.082,0.117,0.04
assignment3/data/midi/bach/organcho/bsgjg_j.mid,0.199,0.0,0.197,0.092,0.006,0.053,0.019,0.19,0.009,0.087,0.121,0.027
assignment3/data/midi/bach/organcho/bsgjg_k.mid,0.165,0.002,0.184,0.091,0.016,0.091,0.019,0.154,0.014,0.099,0.148,0.018
assignment3/data/midi/bach/organcho/bsgjg_l.mid,0.135,0.001,0.168,0.06,0.017,0.106,0.033,0.205,0.017,0.093,0.144,0.023
assignment3/data/midi/bach/partitas/all1.mid,0.15,0.002,0.114,0.078,0.053,0.151,0.017,0.136,0.025,0.104,0.147,0.024
assignment3/data/midi/bach/partitas/all2.mid,0.16,0.02,0.123,0.121,0.018,0.103,0.033,0.185,0.076,0.035,0.079,0.046
assignment3/data/midi/bach/partitas/cap2.mid,0.179,0.006,0.119,0.107,0.019,0.125,0.026,0.191,0.064,0.047,0.079,0.038
assignment3/data/midi/bach/partitas/cou1.mid,0.133,0.006,0.143,0.067,0.059,0.162,0.017,0.11,0.01,0.131,0.153,0.007
assignment3/data/midi/bach/partitas/cou2.mid,0.167,0.011,0.14,0.098,0.011,0.09,0.026,0.246,0.048,0.034,0.067,0.062
assignment3/data/midi/bach/partitas/gig1.mid,0.107,0.062,0.091,0.064,0.062,0.15,0.056,0.118,0.034,0.087,0.145,0.022
assignment3/data/midi/bach/partitas/men1.mid,0.115,0.0,0.12,0.101,0.012,0.205,0.017,0.11,0.014,0.115,0.186,0.006
assignment3/data/midi/bach/partitas/pre1.mid,0.122,0.002,0.145,0.076,0.036,0.162,0.011,0.105,0.009,0.081,0.25,0.001
assignment3/data/midi/bach/partitas/ron2.mid,0.187,0.004,0.127,0.151,0.008,0.131,0.008,0.149,0.076,0.031,0.093,0.033
assignment3/data/midi/bach/partitas/sar1.mid,0.122,0.004,0.108,0.141,0.043,0.233,0.013,0.083,0.032,0.072,0.139,0.01
assignment3/data/midi/bach/partitas/sar2.mid,0.162,0.018,0.087,0.137,0.014,0.149,0.012,0.157,0.081,0.035,0.102,0.045
assignment3/data/midi/bach/partitas/sin2.mid,0.182,0.024,0.123,0.094,0.024,0.108,0.016,0.2,0.073,0.032,0.084,0.04
